id,name,email,password,role,email_verified_at,created_at,updated_at
30,Daniel Pizarro-PÃ©rez,daniel.pizarroprez@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
31,Dimitris Georgopoulos,dimitris.georgopoulos@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
32,Konstantina Salagianni,konstantina.salagianni@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
33,Panagiotis Aivaliotis,panagiotis.aivaliotis@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
34,GaÅ¡per Å kulj,gaper.kulj@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
35,PrimoÅ¾ PodrÅ¾aj,primo.podraj@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
36,Gerrie van de Ven,gerrie.van.de.ven@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
37,I.J.M. de Boer,i.j.m..de.boer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
38,Carolien Kroeze,carolien.kroeze@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
39,Eddie Bokkers,eddie.bokkers@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
40,Khaled Benkrid,khaled.benkrid@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
41,Shuojin Hang,shuojin.hang@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
42,Mark Allen,mark.allen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
43,Tim Wilmshurst,tim.wilmshurst@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
44,Tom Spink,tom.spink@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
45,Manuel Belgioioso,manuel.belgioioso@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
46,Ricardo R. Trujeque,ricardo.r..trujeque@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
47,Rav Ahuja,rav.ahuja@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
48,Upkar Lidder,upkar.lidder@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
49,Joseph Santarcangelo,joseph.santarcangelo@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
50,Ramesh Sannareddy,ramesh.sannareddy@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
51,Yan Luo,yan.luo@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
52,Alex Parker,alex.parker@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
53,Heather Nelson,heather.nelson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
54,Antonio Cangiano,antonio.cangiano@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
55,Thomas Forrest Kelly,thomas.forrest.kelly@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
56,Peter K. Bol,peter.k..bol@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
57,William C.,william.c.@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
58,Kirby,kirby@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
59,John Appleby,john.appleby@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
60,Jerome Wong,jerome.wong@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
61,Wouter Bossu,wouter.bossu@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
62,Hans Weenink,hans.weenink@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
63,Catalina Margulis,catalina.margulis@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
64,Jess  Cheng,jess..cheng@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
65,Rossi Arthur Dominique Pierre,rossi.arthur.dominique.pierre@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
66,Jack Farmer,jack.farmer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
67,Chris Thomas,chris.thomas@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
68,Daniel Wolfenzon,daniel.wolfenzon@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
69,Yang Yang,yang.yang@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
70,Erland Stevens,erland.stevens@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
71,Piter Bijma,piter.bijma@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
72,Mario Calus,mario.calus@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
73,Han Mulder,han.mulder@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
74,Hans Komen,hans.komen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
75,John Bastiaansen,john.bastiaansen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
76,Bart Ducro,bart.ducro@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
77,Jonathan Gershoni,jonathan.gershoni@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
78,Daniel Byman,daniel.byman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
79,Christine Fair,christine.fair@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
80,Bruce Hoffman,bruce.hoffman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
81,Paul Pillar,paul.pillar@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
82,Jordan Abu-Sirriya,jordan.abusirriya@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
83,William Perry,william.perry@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
84,?lter Turan,lter.turan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
85,Mehmet Ali Tu?tan,mehmet.ali.tutan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
86,Regina Barzilay,regina.barzilay@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
87,Karene Chu,karene.chu@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
88,Tommi Jaakkola,tommi.jaakkola@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
89,Alex Aklson,alex.aklson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
90,Dr. Michael Brown,michael.brown@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
91,Dr. Augusto Casas,augusto.casas@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
92,Lin Joyner,lin.joyner@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
93,Rose Malcolm,rose.malcolm@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
94,Steve Ryan,steve.ryan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
95,Juan Pablo GarcÃ­a Cifuentes,juan.pablo.garca.cifuentes@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
96,Montserrat Gispert RodrÃ­guez,montserrat.gispert.rodrguez@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
97,Jacco M. Hoekstra,jacco.m..hoekstra@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
98,Jos Sinke,jos.sinke@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
99,Mark Voskujl,mark.voskujl@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
100,Nando Timmer,nando.timmer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
101,Calvin Rans,calvin.rans@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
102,Gillian Saunders-Smits,gillian.saunderssmits@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
103,RenÃ© Alderliesten,ren.alderliesten@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
104,Julie Teuwen,julie.teuwen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
105,Katharina Ertman,katharina.ertman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
106,Henri Werij,henri.werij@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
107,Irene Fernandez Villegas,irene.fernandez.villegas@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
108,Arvind Gangoli Rao,arvind.gangoli.rao@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
109,Bruno Santos,bruno.santos@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
110,Roelof Vos,roelof.vos@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
111,Maurice Hoogreef,maurice.hoogreef@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
112,Joris Melkert,joris.melkert@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
113,Irene Dedoussi,irene.dedoussi@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
114,Carmine Varriale,carmine.varriale@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
115,Fred Chong,fred.chong@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
116,Jonathan Baker,jonathan.baker@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
117,Yongshan Ding,yongshan.ding@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
118,Casey Duckering,casey.duckering@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
119,Brian McCandless,brian.mccandless@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
120,Abby Wentworth,abby.wentworth@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
121,Alyssa Neville,alyssa.neville@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
122,Yannick Radi,yannick.radi@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
123,RaphaÃ«l Van Steenberghe,raphal.van.steenberghe@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
124,JerÃ´me de Hemptinne,jerme.de.hemptinne@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
125,Olivier De Schutter,olivier.de.schutter@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
126,Olga Espinoza,olga.espinoza@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
127,Eduardo Pazinato,eduardo.pazinato@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
128,Alejandra Mera,alejandra.mera@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
129,Hung-En Sung,hungen.sung@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
130,Rosemary Barberet,rosemary.barberet@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
131,Juan Carlos RuÃ­z,juan.carlos.ruz@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
132,Liliana Mazano,liliana.mazano@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
133,Diego PiÃ±ol,diego.piol@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
134,Carter Zenke,carter.zenke@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
135,Doug Lloyd,doug.lloyd@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
136,Benedict Gross,benedict.gross@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
137,Joseph Harris,joseph.harris@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
138,Emily Riehl,emily.riehl@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
139,Pavlos Protopapas,pavlos.protopapas@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
140,Katie Gaertner,katie.gaertner@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
141,Cody Baldwin,cody.baldwin@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
142,Coen J. Ritsema,coen.j..ritsema@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
143,Michael Riksen,michael.riksen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
144,Jerry Maroulis,jerry.maroulis@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
145,Ken Giller,ken.giller@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
146,Harrie Lovenstein,harrie.lovenstein@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
147,Elena Moltchanova,elena.moltchanova@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
148,Anant Agarwal,anant.agarwal@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
149,Gerald Sussman,gerald.sussman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
150,Piotr Mitros,piotr.mitros@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
151,Chris Terman,chris.terman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
152,Bonnie Lam,bonnie.lam@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
153,Ken Webster,ken.webster@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
154,Conny Bakker,conny.bakker@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
155,David Peck,david.peck@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
156,Ester van der Voet,ester.van.der.voet@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
157,Ruud Balkenende,ruud.balkenende@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
158,Erwin van der Laan,erwin.van.der.laan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
159,Peter Palensky,peter.palensky@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
160,Simon Tindemans,simon.tindemans@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
161,Pedro P. Vergara,pedro.p..vergara@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
162,Kees Vuik,kees.vuik@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
163,Marieke Kootte,marieke.kootte@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
164,Jochen Lorenz Cremer,jochen.lorenz.cremer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
165,Alexandru Stevanof,alexandru.stevanof@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
166,Rudi Hakvoort,rudi.hakvoort@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
167,Zofia Lukszo,zofia.lukszo@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
168,Milos Cvetkovic,milos.cvetkovic@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
169,Gautham Ram,gautham.ram@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
170,Ivo Pothof,ivo.pothof@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
171,Yashar Ghiassi,yashar.ghiassi@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
172,Ayman Abdelwahed,ayman.abdelwahed@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
173,Mohammad Ansarin,mohammad.ansarin@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
174,Sven Andersson,sven.andersson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
175,Anders Grauers,anders.grauers@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
176,Mansun Chan,mansun.chan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
177,Stefan Auer,stefan.auer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
178,Nicole Scicluna,nicole.scicluna@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
179,Tobias Theiler,tobias.theiler@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
180,Martin Sebena,martin.sebena@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
181,Alejandro Vergara,alejandro.vergara@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
182,David Cox,david.cox@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
183,Blake McKimmie,blake.mckimmie@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
184,Roy Baumester,roy.baumester@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
185,Virginia Slaughter,virginia.slaughter@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
186,Mark Nielsen,mark.nielsen@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
187,Nicole Nelson,nicole.nelson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
188,Nancy Pachana,nancy.pachana@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
189,Vanessa Cobham,vanessa.cobham@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
190,Wen Wu,wen.wu@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
191,Rita Dwan,rita.dwan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
192,"Yitong Yu, Ph.D.",yitong.yu..@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
193,"Ada Lo, Ph.D.",ada.lo..@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
194,"Dan Wang, Ph.D.",dan.wang..@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
